"HypocotylValues.Well" "HypocotylValues.Value" "RootValues.Value"
"212" "0" 9.411 5.275
"213" "0" 9.405 4.468
"214" "0" 9.944 4.008
"215" "0" 8.399 3.069
"216" "0" 9.809 3.907
"217" "0" 9.446 4.577
"218" "0" 8.878 4.856
"219" "0" 10.676 4.881
"220" "0" 8.194 2.802
"221" "0" 8.471 5.468
"222" "0" 8.795 4.234
"223" "0" 8.559 2.136
"224" "0" 8.641 2.138
"225" "0" 7.45 3.099
"226" "0" 7.388 2.89
"227" "0" 4.773 2.888
"228" "0" 9.583 4.519
"229" "0" 9.047 3.628
"230" "0" 9.454 6.564
"231" "0" 9.286 4.605
"232" "0" 10.006 5.717
"233" "0" 9.317 4.031
"234" "0" 9.921 5.174
"235" "0" 8.898 4.86
"236" "0" 7.723 3.512
"237" "0" 10.334 4.84
"238" "0" 9.852 4.926
"239" "0" 10.151 4.225
"240" "0" 8.95 5.062
"241" "0" 5.678 2.568
"242" "0" 8.773 3.62
"243" "0" 9.241 5.135
"244" "0" 7.763 3.807
"245" "0" 10.157 3.806
"246" "0" 10.483 4.758
"247" "0" 8.275 3.868
"248" "0" 8.908 4.399
"249" "0" 10.126 4.106
"250" "0" 7.643 5.398
"251" "0" 9.641 4.617
"252" "0" 10.259 5.083
"253" "0" 8.336 4.918
"254" "0" 7.474 3.97
"255" "0" 8.204 4.57
"256" "0" 8.054 3.748
"257" "0" 10.127 2.797
"258" "0" 8.646 3.398
"259" "100" 2.662 0.856
"260" "100" 2.255 0.985
"261" "100" 3.083 1.383
"262" "100" 2.898 1.079
"263" "100" 3.254 0.957
"264" "100" 2.719 1.187
"265" "100" 2.314 1.127
"266" "100" 2.111 1.341
"267" "75" 2.186 1.855
"268" "75" 2.658 1.327
"269" "75" 2.78 1.154
"270" "75" 2.636 1.002
"271" "75" 2.68 1.042
"272" "75" 3.122 0.951
"273" "75" 2.242 0.634
"274" "75" 2.426 1.014
"275" "75" 2.929 0.674
"276" "75" 2.554 1.255
"277" "75" 3.764 1.1
"278" "50" 3.394 1.789
"279" "50" 4.693 1.678
"280" "50" 4.81 2.323
"281" "50" 6.321 2.729
"282" "50" 3.852 1.939
"283" "50" 5.567 2.317
"284" "50" 5.309 2.731
"285" "50" 4.268 2.169
"286" "50" 6.082 1.662
"287" "50" 4.658 2.187
"288" "50" 5.146 1.563
"289" "50" 4.987 2.076
"290" "25" 8.919 3.311
"291" "25" 7.972 3.519
"292" "25" 7.477 3.79
"293" "25" 8.337 3.79
"294" "25" 8.414 5.055
"295" "25" 8.052 3.403
"296" "25" 6.083 3.33
"297" "25" 7.1 3.619
"298" "25" 6.696 3.673
"299" "25" 6.988 3.799
"300" "25" 6.783 3.628
"301" "25" 7.634 3.973
"302" "5" 8.548 4.386
"303" "5" 8.227 3.369
"304" "5" 7.213 3.031
"305" "5" 8.02 3.399
"306" "5" 8.645 4.532
"307" "5" 6.583 2.814
"308" "5" 6.954 2.848
"309" "5" 7.842 3.59
"310" "5" 7.348 5.117
"311" "5" 8.766 2.819
"312" "1" 7.728 2.822
"313" "1" 7.332 1.301
"314" "1" 9.465 2.968
"315" "1" 8.304 3.657
"316" "1" 8.958 4.516
"317" "1" 9.065 3.61
"318" "1" 8.182 3.472
"319" "1" 8.924 4.51
"320" "1" 9.432 3.902
"321" "1" 8.633 2.883
"322" "1" 9.257 4.538
"323" "1" 8.181 3.301
"324" "0" 8.064 4.444
"325" "0" 7.961 3.69
"326" "0" 11.057 4.526
"327" "0" 5.5 2.983
"328" "0" 8.597 4.185
"329" "0" 10.185 3.94
"330" "0" 9.078 3.288
"331" "0" 7.477 3.891
"332" "0" 10.122 4.513
"333" "0" 6.529 2.96
"334" "0" 7.087 4.43
"335" "0" 7.675 3.44
"336" "0" 7.826 4.386
"337" "0" 8.754 3.367
"338" "0" 9.032 4.393
"339" "0" 9.167 5.027
"340" "0" 10.447 3.321
"341" "0" 10.403 2.673
"342" "0" 9.394 4.222
"343" "0" 10.066 4.212
"344" "0" 10.153 4.614
"345" "0" 9.565 4.407
"346" "0" 7.577 3.837
"347" "0" 8.652 3.868
"348" "0" 6.41 3.459
"349" "0" 8.631 3.637
"350" "0" 7.671 3.474
"351" "0" 7.674 3.92
"352" "0" 9.74 5.167
"353" "0" 8.555 5.775
"354" "0" 12.72 4.522
"355" "0" 9.255 3.798
"356" "0" 9.35 3.243
"357" "0" 7.404 3.816
"358" "0" 8.723 1.807
"359" "0" 8.505 4.86
"360" "0" 8.62 4.231
"361" "0" 9.149 3.659
"362" "0" 9.088 4.932
"363" "0" 9.968 3.341
"364" "0" 8.804 4.215
"365" "0" 7.975 2.358
"366" "0" 7.994 3.528
"367" "0" 8.515 3.491
"368" "0" 7.785 4.209
"369" "0" 7.894 3.65
"370" "0" 8.477 2.971
"371" "0" 1.548 0.94
"372" "0" 9.089 4.057
"373" "0" 8.43 2.979
"374" "0" 8.995 3.651
"375" "0" 8.94 3.987
"376" "0" 9.481 3.771
"377" "0" 9.385 2.476
"378" "0" 6.583 3.871
"379" "0" 10.071 4.355
"380" "0" 8.526 3.908
"381" "0" 10.727 3.623
"382" "0" 10.077 3.266
"383" "0" 8.51 4.824
"384" "0" 9.816 5.739
"385" "0" 7.706 4.195
"386" "0" 9.142 5.562
"387" "0" 7.346 4.822
"388" "0" 7.689 5.252
"389" "0" 7.168 5.368
"390" "0" 5.174 3.543
"391" "0" 7.575 3.632
"392" "0" 7.16 3.458
"393" "0" 6.294 3.998
"394" "100" 3.454 0.801
"395" "100" 2.652 1.195
"396" "100" 3.039 1.006
"397" "100" 2.824 1.046
"398" "100" 2.702 0.851
"399" "100" 1.973 1.12
"400" "100" 3.054 1.19
"401" "100" 2.914 0.852
"402" "100" 1.844 0.682
"403" "100" 2.978 0.941
"404" "100" 1.484 1.04
"405" "100" 2.7 1.105
"406" "75" 2.148 1.041
"407" "75" 2.534 1.016
"408" "75" 2.145 0.86
"409" "75" 2.839 0.921
"410" "75" 1.782 0.5
"411" "75" 3.47 0.825
"412" "75" 2.833 1.082
"413" "75" 2.215 0.698
"414" "50" 4.655 1.45
"415" "50" 3.685 1.578
"416" "50" 4.702 2.529
"417" "50" 5.588 2.557
"418" "50" 5.308 2.114
"419" "50" 5.78 2.473
"420" "50" 4.508 1.794
"421" "50" 4.672 1.856
"422" "25" 8.215 5.111
